ID,SKU,Seal Type,Material,Temp,Pressure,Description,ID,OD,L,HT,CS
33012,PS1800-104,Glass Filled PTFE Piston Seals,15% Glass Filled PTFE Seal Rubber Energizer,-40 to +220 F,"0-5,000 PSI","The PS1800 provides low friction, high strength piston sealing. The PS1800 also provides-acting piston sealing in a compact design that meets the requirements of ANSI/B93-32-1973.",5.738,6.5,0,0.362-0.367,0.137-0.147
33053,PS1850-112,Bronze Filled Piston Seals,Bronze Filled PTFE Seals Rubber Energizer,-40 to +220 F,"0-5,000 PSI",The PS1850 piston seal can be used interchangeably with the PS1800 style piston seal. The seal provides improved heat resistance for demanding applications.,6.238,7,0,0.362-0.367,0.137-0.147
33129,PSQ-112,Bronze Filled Piston Seals,40% Bronze Filled PTFE Rubber Energizer and Quad Ring,-40 to +220 F,"0-5,000 PSI","These piston seals provide bi-directional, low friction sealing with increased stability and superior leakage control. The square cut energizer provides low pressure sealing and eliminated backside leakage. This seal also effectively seals between different fluids on each side of the piston seal, making gas/liquid sealing combination possible.",6.17,7,0,0.352,0
33495,PSM-222,Urethane Piston Seal,93A Urethane Seal / 70A Nitrile Energizer,-65 to +220 F,"0-5,000 PSI","Molded from 93 Shore a polyurethane with a 70 Shore A energizer, this seal utilizes the same groove dimension as a standard 0-ring or T-seal. One or two style 575 back-up rings may be used for wider grooves. Extrusion resistance by design, this seal is also resistant to rolling and twisting. Installation is an easy two step snap-in procedure with no need to re size before insertion into the bore.",1.5,1.75,0,0.165,0
33528,PSU-1.50X1.12X.250,Piston Seals,60D & 57A Urethane Composite,-65 to +220 F,"0-5,000 PSI","Our Style PSU piston seal, or uni ring, is a laminated one piece double acting seal made of cast polyurethane. The tough outer layer is highly resistant to abrasion and is impregnated with molybdenum disulfide to reduce friction. The softer inner layer acts as a static seal and also energizes the OD to make full contact with the bore. This seal may be used to replace an existing Uni ring or other seals of same dimension.",1.125,1.5,0,0.25,0
33566,SPR-10000,Cast-Iron Piston ring,Cast-Iron,-20 to +550 F,"0-10,000 PSI","When using iron piston rings, it is crucial to use the correct groove design for proper performance of the cylinder.",0,10,0,0.310/0.311,0.320/0.330-
33744,606-112-050,Wear Ring,Nylon,-40 to +275 F,"Tensile Strenght-27,000PSI Compressive Strenght-26,000 PSI","""SC"" suffix designates a scarf cut wear ring.",0,1.125,0,0.5,0.0625
34309,606T-037,Flexible Guide Bearing,Glass Filled 60% Bronze Filled PTFE,-50 to +400 F,"Tensile Strenght-2,100PSI Compressive Strenght-1,500 PSI",Flexible Guide bearing are strips of filled PTFE. The material can be cut to any length to fit any rod or bore size without losing its concentricity.,0,0,0,0.375,0.0625
34316,612T-050B,Flexible Guide Bearing,Glass Filled 60% Bronze Filled PTFE,-50 to +400 F,"Tensile Strenght-2,100PSI Compressive Strenght-1,500 PSI",Flexible Guide bearing are strips of filled PTFE. The material can be cut to any length to fit any rod or bore size without losing its concentricity.,0,0,0,0.5,0.125
34322,612F-050,Flexible Guide Bearing,Woven- fabric- Reinforced Polyester,-40 to +250 F,"Tensile Strenght-8,000PSI Compressive Strenght-24,000 PSI","Manufactured using woven-fabric-reinforced polyester resin, this material produces a dimensionally accurate rectangular strip which can be cut to any length. A low coefficient of friction and high compressive strength makes it an ideal bearing material. A common radial thickness of 1/8' allows the stacking of various widths. Cutting is made easy by using anvil type pruning shears. radial wall thickness =0.123 to 0.125.",0,0,0,0.5,0.125
34328,614-1254-084,Rod Bearing,Nylon,-40 to +275 F,"Tensile Strenght-25,000PSI Compressive Strenght-26,000 PSI","Style 614 Rod bearing are available in nylon material. These products are use extensively in hydraulic cylinder due to their low rate of wear and non-scoring properties. Excellent for those heavy duty applications that require a sturdy bearing. Most bearings are solid, although some may be split.",1.25,1.75,0,0.8437,0
34412,615-2253-100,Phenolic Bearing,Nylon,-40 to +250 F,"Tensile Strenght-10,600PSI Compressive Strenght-34,000 PSI",A low coefficient of friction and high compressive strength makes it an ideal bearing material.,2.25,2.5,0,1,0
34418,660-1008-125,Piston Cups,Buna-N Rubber,-40 to +220 F,0-150 PSI,The 6000 piston cups are center punched if there is no hole size indicated.,0.75,5,0,0.75,0.1875
34422,FB-200,Follower Bearings,60D Polyester,-65 to+220 F,"0-8,000 PSI","These parts are used as companion pieces for cascade vee sets, primarily as bearings.",0,2,0,0,0
34435,MB18-2.00-18,Modular Back-ups,Urethane 70 Shore D,-40 to +250 F,0-6000 PSI,"These back-up rings, made from urethane or nylon, are commonly used as spacers for u-seals.",2,2.375,0,0.1875,0
34492,PB12-150-037-SC,Power bands,"Nylon, Glass Fiber and PTFE Blend",-40 to+275 F,"Tensile Strenght-20,000PSI / Flexural Stength-34,000PSI / Compressive Strength-20,000PSI",,0,1.5,0,0.375,0.125
34599,AN-02,Urethane Wiper Rings,90A Urethane,-40 to +200 F,0-14.8 PSI,"Suffix ""SH"" designates slotted heel design, ""V"" designates fluorocarbon material, and ""B"" designates carboxilated Nitrile material.",0.5625,0.823,0,0.104,0
34674,BT01260,Urethane Wiper Rings,90A Urethane,-40 to +200 F,0-14.8 PSI,"BT Style Wiper is a light to medium duty urethane wiper with a angled shoulder, similar to the ST Style but with different dimensions, wiper lip has a low profile for reduced clearance.",0.75,1.125,0,0.1875,0
34710,"7581C 3/16""",ST Wiper Cord,Buna-N Rubber,-40 to +220 F,0-150 PSI,"ST Style Wiper Cord 0.187"" C/S, Price Per Foot",0,0,0,0,0.187
34713,CAS-605611,Cascade Wipers,Urethane,-65 to +220 F,0-14.8 PSI,Urethane Wiper,3.2,0,0,0,0
34719,CSW-112,Snap-In Wiper Rings,Nylon,-40 to +212 F,0-14.8 PSI,This wiper is a heavy duty scraper molded from a hard nylon material.,1.125,1.625,0,0.23,0
34735,CWN-112,Metal Clad Wipers,Buna-N,-22 to +212 F,0-14.8 PSI,"Style CWN Metal Clad Wiper, Press Fit St Wiper Lip",1.125,1.5,0,0.1875,0
34746,HW-0500V,Urethane Wiper Rods,Urethane,-40 to +200 F N: -40 to+225F V:-20 to+350F HT:-40 to+225F,"0-5,000 PSI","Suffix ""V"" designates fluorocarbon material, ""N"" designates Nitrile material and ""HT"" designates high temp. Urethane.",0.5,0.1825,0,0.194,0
34786,KW-0625,Urethane Wiper Rods,90A Urethane,-40 to+200 F,0-1500 PSI,"Suffix ""N"" designates Nitrile material.",0.625,0.875,0,0.156,0
34830,MCHD-1755-D,Metal Clad Wipers,Urethane,-65 to +230 F,0-14.8 PSI,"Utilizing a urethane bonded to a carbon steel case, this wiper prevents contaminant ingression at the wiping lip and around the outer case.",1.75,2.4375,0,0.4333,0
34846,MCN-0501,Metal Clad Wipers- Rubber Lip,Rubber,-40 to +240 F,0-14.8 PSI,"Utilizing a single lip of Nitrile bonded to a carbon steel case, this wiper prevents contaminant ingression at the wiping lip and around the outer case.",0.5,0.75,0,0.125,0
34903,MCU-0750-D,Heavy Duty Metal Clad Wiper Rings,Urethane,-65 to +230 F,0-14.8 PSI,"Utilizing a sturdy metal case, these wipers are molded from the same high performance urethane used in heavy duty U-seals. Built to severe service, these wipers are capable of surviving hostile environments.",0.75,1.25,0,0.3125,0
34990,SG-0.750,Metallic Rod Wiper,660 Bronze 70A Nitrile,-40 to +240 F,0-14.8 PSI,"Each Seal Guard Wiper consist of two flexible bronze rings which are held in place by a Nitrile cushion ring. The cushion ring absorbs side loads and energizes the wiper to maintain close contact with the rod. Particularly suited for hostile environments, seal guard wipers shave off sand, grit, flux, paint, moisture, chips and slivers. Seal guard wipers are long-lasting, self-adjusting, and offer low friction.",0.75,1.125,0,0.118,0
35005,ST-1000,Urethane Wiper Rings,Urethane / Fluorocarbon,Urethane:-40 to+200 F Fluorocarbon:-20 to+400 F,0-14.8 PSI,"Style St wiper rings are precision molded from 90A Durometer urethane. Flexible enough to easily snap into a groove yet tough enough to handle different rod wiping application. ""V"" tagged wipers are constructed of fluorocarbon",10,11,0,0.5,0
35086,ST-275-E,Wiper Rod,Urethane,Urethane -40 to +200 F,0-14.8 PSI,"Style ST-E is a light to medium duty urethane wiper ring with a square shoulder, similar to our standard ST style wipers but different dimensions.",2.75,3.1875,0,0.1875,0
35098,ST-112-SH,Urethane Wiper Rings with Slotted Heel,90A Urethane,Urethane -40 to +200 F,0-14.8 PSI,"A wide range of ST wipers are now offered in the slotted heel design. The slot in the heel allow excess hydraulic fluid to bypass the wiper, preventing wiper blowout",1.125,1.5,0,0.1875,0
35129,ST-112-XL,Urethane Wiper Rings with Slotted Heel,90A Urethane,Urethane -40 to +200 F,0-14.8 PSI,"A wide range of ST wipers are now offered in the slotted heel design. The slot in the heel allow excess hydraulic fluid to bypass the wiper, preventing wiper blowout",1.125,1.5,0,0.1875,0
35150,STXE-175,Energizer Wiper Ring,Urethane Wiper Rubber Energizer,-40 to +200 F,0-14.8 PSI,STXE wipers are designed to retrofit the standard ST wiper groove while providing superior performance. The o-ring energizer limits dirt intrusion around the O.D. of the wiper. The energizer also makes this wiper more effective in application with severe side deflections.,1.75,2.125,0,0.1875,0
35160,SWNB-112,Wiper Rings,Buna-N,-22 to +212 F,0-14.8 PSI,Wiper available in customer sizes,1.125,1.375,0,0.16,0
35184,SWNC-100A,Wiper Rings,Buna-N,-22 to +212 F,0-14.8 PSI,Wiper available in customer sizes,1,1.4,0,0.125,0
35210,SWSN-112,Wipers,Buna-N,-22 to +212 F,0-14.8 PSI,Wiper available in customer sizes,1.125,1.625,0,0.208,0
35229,568-001-1/2,O-Ring,Buna-N Rubber,-40 to +240 F,Varies According to Diametric Clearance,AS568 Buna (Nitrile) 70 Durometer,0.062,0.125,0,0.0312,0.0312
35606,568-902V,Boss O-Ring,Fluorocarbon,-20 to +400 F,Varies According to Diametric Clearance,AS568 Viton Fluorocarbon 75 Durometer,0.239,0.125,0,0.25,0.064
35638,568C-062V,O-Ring Cord,Buna-N Rubber,-40 to +240 F,Varies According to Diametric Clearance,"O-Ring Cord 568 Style Fluorocarbon (Viton) Black 70 Durometer, Price Per Foot",0,0,0,0.062,0.103
35650,580-014,Square Cut Ring,Buna-N Rubber,-40 To +240 F,Varies According to Diametric Clearance,"Square Cut Rings Buna (Nitrile) 70 Durometer, Dash numbers are the same as AS568 O-rings.",0.5,0.625,0,0.07,0.07
35862,QR-4005,Quad Rings,Buna-N Rubber,-40 to +240 F,Varies According To Diametric Clearance,"Quad rings provide improved stability and lubricity over conventional o-rings, reducing the tendency to spiral in the groove. They interchange standard o-rings in a variety of static and dynamic sealing application including rotary, reciprocating or oscillating motion.",0.093,0.218,0,0.062,0.07
36111,SFS-16,Split Flange Seals,Urethane,-40 to +200 F,"0-6,000 PSI","Flange seals are a one piece dual Durometer urethane static seal. The black outer part is a tough, extrusion-resistant 95 Durometer urethane, and the yellow inner layer is 57 Durometer with low compression set and excellent sealing properties. These seals are a direct replacement for o-ring and do not require modification to any split flange groove.",1.565,0.13,0,0,0.115
36120,573-015,Back-Up Rings,55D Hytrel,-65 to +275 F,Varies According to Diametric Clearance,"Molded of 55D Durometer Hytrel, these backup rings provide excellent extrusion resistance and tolerance to fluids such as phosphate esters, hydraulic oil and water. Stretched for installation, they return quickly to their original size for easy installation.",0.562,0.687,0,0.04,0.053
36363,574-005,"""Par back"" Back-Up Rings",90A Buna-N rubber,-40 to +240 F,Varies According to Diametric Clearance,"Molded of 90A Durometer Buna-N Rubber, these ""Par back"" style dished cross section back-up rings provide excellent extrusion resistance. Stretched for installation, they return quickly to their original size for easy installation.",0.093,0.218,0,0.04,0.053
36692,575-005ST,Style 575 Back-Up Rings,PTFE,-40 to +500 F,Varies According to Diametric Clearance,"Letter Suffix T= Solid, ST= Split, TS= Spiral Cut, TW= .085 Wide",0.093,0.218,0,0.04,0.053
36879,575-005,Style 575 Back-Up Rings,95A Durometer Urethane,-65 to +220 F,Varies According to Diametric Clearance,"Molded of 95A Durometer urethane these back-up rings provide excellent resistance. Stretched for installation, they return quickly to their original size for easy installation.",0.093,0.218,0,0.04,0.053
37179,576-2.50X.125,Slit Nylon Back-Up Rings,Nylon,-40 to +250 F,Varies According to Diametric Clearance,Nylon Split Back up rings are excellent for backing up large diametric Clearance,2.5,2.75,0,0.07,0
37223,595-13.18X14ST,U-Seal Back-Up Rings,PTFE,-40 to +500 F,Varies According to Diametric Clearance,"Used primarily as an anti-extrusion device for u-seals, these back-up rings combine high performance with very low friction. ""ST"" suffix designates a split ring.",13.1875,14,0,0.0625,0
37319,310-037,External Retainer Rings,Steel,N/A,N/A,TRU-ARC Type Steel,0.375,0,0,0.035,0
37354,NAN-112,Ea-N NAN Series Internal Retainer Rings,Steel,NA,NA,NA,0,1.2,0,0.05,0.109
37365,RSR-052,Style RSR Retainer Rings,Steel,-22 to +500 F,"0-5,000 PSI",Round C/S Style used in round body cylinders for gland and piston retention,0.517,0,0,0,0.053
